accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,lsoa_of_casualty,collision_to_casualty_home_postcode,enhanced_casualty_severity,grid_x,grid_y,longitude,latitude,geom,police_force,accident_severity,number_of_vehicles,number_of_casualties,obs_date,lad_stats19,lah_ons,first_road_class,first_road_number,road_type,speed_limit_mph,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,enhanced_collision_severity,lad_ons,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,was_vehicle_left_hand_drive,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_home_area_type,lsoa_of_driver,escooter,collision_to_driver_home_postcode,from_pt,to_pt,generic_make_model
2023141299033,1,1,Pedestrian,Male,50,46 - 55,Fatal,"In carriageway, crossing elsewhere",Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01008154,>5 and <= 10km,Fatal,435631,396678,-1.464758,53.465646,0101000020E610000008A8E096A56FF7BFD5095E3E9ABB4A40,14,Fatal,1,1,2023-04-19T16:54:00Z,-1,E08000019,A,6135,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01007894,Fatal,E08000019,9,No tow,NA,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Other,Male,18,16 - 20,1395,Hybrid electric,2,Urban area,E01008117,FALSE,<= 5km,0101000020E61000009E02281B0B70F7BF55901C7889BB4A40,0101000020E6100000E40FCBA88E6EF7BFE912B71FB4BB4A40,VOLKSWAGEN GOLF
2023340WN2542,1,1,Pedestrian,Female,12,11 - 15,Slight,Centre of carriageway without refuge,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,NA,NA,458408,237101,-1.150072,52.029255,0101000020E610000040136A30B266F2BF0AA6BB95BE034A40,34,Slight,1,1,2023-05-19T16:25:00Z,-1,E06000062,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01027269,NA,E06000062,9,No tow,Turning left,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Not known,Female,72,66 - 75,2298,Petrol,25,Urban area,E01027267,FALSE,<= 5km,NA,NA,MERCEDES SLK CLASS
2023101349545,1,1,Pedestrian,Female,39,36 - 45,Slight,"In carriageway, crossing elsewhere",Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01008677,<= 5km,Slight,437203,567309,-1.419979,54.998975,0101000020E610000026E08AA83BB8F6BF77CEBA59DE7F4B40,10,Slight,1,1,2023-09-04T10:30:00Z,-1,E08000023,C,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,B,NA,None,Central Refuge,Daylight,Fine no high winds,Dry,None,None,Rural,No,E01008597,Slight,E08000023,9,No tow,Moving off,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Other,Female,49,46 - 55,1598,Petrol,6,Urban area,E01008814,FALSE,>10 and <= 20km,NA,NA,NISSAN JUKE
2023052300274,1,1,Pedestrian,Male,63,56 - 65,Fatal,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01012680,>20 and <=100km,NA,355349,398267,-2.674263,53.479223,0101000020E61000006E6D83E1E36405C08390ED1F57BD4A40,5,Fatal,1,1,2023-01-28T16:04:00Z,-1,E08000013,A,58,Single carriageway,40,Not a junction,NA,NA,-1,None,None,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Rural,Yes,E01006803,NA,E08000013,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,37,36 - 45,2400,Hybrid electric,15,Urban area,E01006215,FALSE,>5 and <= 10km,NA,NA,TOYOTA MODEL MISSING
2023041350087,1,1,Pedestrian,Male,72,66 - 75,Serious,Within 50m. of crossing,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01025123,>5 and <= 10km,Less Serious,347845,461667,-2.798056,54.048316,0101000020E61000000764A2656B6206C06202EC2D2F064B40,4,Serious,1,1,2023-09-05T16:25:00Z,-1,E10000017,A,6,Single carriageway,30,T or staggered junction,Auto traffic signal,C,NA,None,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,No,E01033071,Less Serious,E07000121,9,No tow,Turning right,On main cway not in restricted lane,Mid Junction - on roundabout or on main road,None,None,NA,None,Front,No,Journey as part of work,Male,56,56 - 65,1560,Heavy oil,5,Urban area,E01025151,FALSE,<= 5km,NA,NA,PEUGEOT PARTNER
2023010477867,1,1,Pedestrian,Female,32,26 - 35,Slight,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01003658,<= 5km,NA,540084,192026,0.021629,51.609648,0101000020E6100000ECB55295F025963F99E4C4E708CE4940,1,Slight,1,1,2023-11-14T07:45:00Z,-1,E09000026,A,104,Slip road,20,T or staggered junction,Give way or uncontrolled,C,NA,NA,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,No - accident was reported on self completed form,E01003750,NA,E09000026,9,NA,NA,NA,NA,NA,NA,Offside and rebounded,NA,NA,NA,Not known,Not known,-1,NA,NA,NA,NA,NA,-1,FALSE,NA,NA,NA,-1
2023211383040,1,1,Pedestrian,Male,84,Over 75,Fatal,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,NA,-1,NA,Fatal,392186,314122,-2.117135,52.724688,0101000020E61000007B113883E4EF00C0415FDF87C25C4A40,21,Fatal,1,1,2023-12-05T12:15:00Z,-1,E10000028,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,NA,NA,Daylight,Fine no high winds,Wet or damp,NA,NA,Rural,Yes,E01029660,Fatal,E07000196,9,No tow,Turning left,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Female,84,Over 75,999,Petrol,6,NA,-1,FALSE,NA,NA,NA,SKODA FABIA
2023522300063,1,1,Pedestrian,Male,26,26 - 35,Fatal,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Rural,E01033333,<= 5km,NA,361333,178842,-2.558525,51.507179,0101000020E61000008BBB63B7DB7704C09FDCFE2BEBC04940,52,Fatal,1,1,2023-01-09T20:26:00Z,-1,E06000025,A,4174,Dual carriageway,40,Not a junction,NA,NA,-1,None,Pelican,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01014904,NA,E06000025,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,31,26 - 35,1590,Petrol,19,Urban area,E01014758,FALSE,>20 and <=100km,NA,NA,HONDA CIVIC
2023111298360,1,1,Pedestrian,Male,72,66 - 75,Serious,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Small town,E01020736,<= 5km,Moderately serious,446644,538722,-1.27702,54.74131,0101000020E6100000AA223A02AC6EF4BF3CD59230E35E4B40,11,Serious,1,1,2023-04-19T09:35:00Z,-1,E06000047,A,1086,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01020736,Moderately serious,E06000047,9,No tow,Overtaking moving vehicle - offside,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Not known,Not known,30,26 - 35,1984,Petrol,16,NA,-1,FALSE,NA,NA,NA,AUDI A3
2023991390135,1,3,Pedestrian,Male,62,56 - 65,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,NA,-1,NA,Slight,313386,684324,-3.39193,56.043926,0101000020E6100000C9E6B4FEAB220BC00DAC58559F054C40,99,Serious,2,3,2023-12-19T07:30:00Z,-1,S12000047,B,981,Single carriageway,40,T or staggered junction,Give way or uncontrolled,A,981,None,None,Daylight,Fine no high winds,Wet or damp,None,None,Rural,Yes,-1,Moderately serious,S12000047,19,No tow,Turning right,On main cway not in restricted lane,Mid Junction - on roundabout or on main road,None,None,NA,None,Front,No,Journey as part of work,Male,60,56 - 65,1560,Heavy oil,16,Urban area,-1,FALSE,<= 5km,0101000020E61000008F4A2553C9240BC0C287FCF4A3054C40,0101000020E6100000B25F45E949230BC0BA0DDA428D054C40,PEUGEOT EXPERT
2023061385141,1,1,Pedestrian,Male,54,46 - 55,Serious,Within 50m. of crossing,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01005943,>10 and <= 20km,Very serious,384010,397755,-2.242385,53.476278,0101000020E61000003AABB57467F001C026B703A0F6BC4A40,6,Serious,1,1,2023-12-09T23:28:00Z,-1,E08000003,A,5103,Single carriageway,30,Crossroads,Auto traffic signal,A(M),34,NA,NA,Darkness - lights lit,Fine no high winds,Wet or damp,NA,NA,Urban,Yes,E01033662,Very serious,E08000003,11,No tow,Turning right,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Journey as part of work,Male,29,26 - 35,9360,Heavy oil,15,NA,-1,FALSE,NA,NA,NA,VOLVO MODEL MISSING
2023991288062,1,1,Pedestrian,Male,77,Over 75,Serious,Centre of carriageway without refuge,"In carriageway, stationary",Not a Car Passenger,Not a bus or coach passenger,Unknown,0,NA,-1,NA,Less Serious,234149,620928,-4.624194,55.454025,0101000020E610000014665ABA2C7F12C0DF4C51731DBA4B40,99,Serious,1,1,2023-03-15T15:52:00Z,-1,S12000028,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,-1,Less Serious,S12000028,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Other,Male,70,66 - 75,1597,Heavy oil,9,Rural,-1,FALSE,<= 5km,0101000020E6100000045F4D8FE07E12C05AC9125E22BA4B40,0101000020E6100000E69650A55E7F12C02016F2F315BA4B40,HONDA CIVIC
2023531310744,1,1,Pedestrian,Male,12,11 - 15,Serious,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01022446,<= 5km,Very serious,387568,216025,-2.181859,51.842688,0101000020E6100000C0B8473D727401C0755A4325DDEB4940,53,Serious,1,1,2023-05-22T16:05:00Z,-1,E10000013,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,E01022446,Very serious,E07000083,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Other,Female,49,46 - 55,1398,Petrol,4,Urban area,E01022306,FALSE,<= 5km,NA,NA,VAUXHALL CORSA
2023991261726,1,1,Pedestrian,Male,87,Over 75,Serious,Within 50m. of crossing,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,NA,-1,NA,Very serious,276272,651107,-3.972159,55.737499,0101000020E61000004200EA2FFBC60FC0915E7A5066DE4B40,99,Serious,1,1,2023-01-10T17:29:00Z,-1,S12000029,U,NA,Single carriageway,20,Crossroads,Auto traffic signal,A,7078,None,Pedestrian phase at traffic signal junction,Darkness - lights lit,Raining no high winds,Wet or damp,Roadworks,None,Urban,Yes,-1,Very serious,S12000029,9,No tow,Turning right,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Offside,No,Commuting to from work,Male,58,56 - 65,1498,Hybrid electric,1,Urban area,-1,FALSE,>5 and <= 10km,0101000020E61000001FD5CF6520C70FC07E1C89AE60DE4B40,0101000020E6100000B957CA6ABDC60FC0FCBC818F6CDE4B40,LAND ROVER DISCOVERY
2023440321107,1,1,Pedestrian,Female,71,66 - 75,Slight,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01017119,>20 and <=100km,NA,445616,118852,-1.351764,50.96729,0101000020E6100000748D0603D3A0F5BFE9F3881BD07B4940,44,Slight,1,1,2023-08-09T16:42:00Z,-1,E10000014,U,NA,Single carriageway,20,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01022666,NA,E07000086,9,No tow,Reversing,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Back,No,Not known,Male,57,56 - 65,1999,Heavy oil,3,Rural,E01023229,FALSE,>5 and <= 10km,NA,NA,LAND ROVER RANGE ROVER EVOQUE
2023311379360,1,1,Pedestrian,Male,63,56 - 65,Serious,"In carriageway, not crossing","In carriageway, stationary",Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,NA,Less Serious,455152,369839,-1.175406,53.222747,0101000020E6100000E2B5559B76CEF2BF3C49D0EC829C4A40,31,Serious,1,1,2023-11-27T08:41:00Z,-1,E10000024,U,NA,Single carriageway,50,Not a junction,NA,NA,-1,NA,NA,Daylight,Raining no high winds,Wet or damp,NA,NA,Rural,Yes,E01028041,Less Serious,E07000171,9,No tow,Reversing,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Back,No,Journey as part of work,Male,63,56 - 65,NA,NA,NA,NA,-1,FALSE,NA,NA,NA,-1
202360A085740,1,1,Pedestrian,Female,62,56 - 65,Fatal,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,NA,NA,324296,372992,-3.136024,53.248524,0101000020E6100000F46B4CC7931609C0EBD34398CF9F4A40,60,Fatal,1,1,2023-06-05T12:24:00Z,-1,W06000005,U,NA,One way street,30,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,W01000288,NA,W06000005,21,No tow,Waiting to go - held up,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Journey as part of work,Male,37,36 - 45,12902,Heavy oil,8,NA,-1,FALSE,NA,NA,NA,DAF TRUCKS MODEL MISSING
2023010430799,1,1,Pedestrian,Female,42,36 - 45,Serious,Within 50m. of crossing,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01004574,<= 5km,NA,525369,174679,-0.196928,51.457218,0101000020E610000039D72256F034C9BFCFFBA40E86BA4940,1,Serious,1,1,2023-03-07T10:49:00Z,-1,E09000032,A,3,One way street,20,Other junction,Give way or uncontrolled,C,NA,None,Pedestrian phase at traffic signal junction,Daylight,Other,Wet or damp,None,None,Urban,Yes,E01004509,NA,E09000032,9,No tow,Overtaking - nearside,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Not known,Male,51,46 - 55,NA,Electric,6,Urban area,E01004621,FALSE,<= 5km,NA,NA,TESLA MODEL X
2023161386995,1,1,Pedestrian,Male,41,36 - 45,Slight,Centre of carriageway without refuge,Walking facing traffic,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01013106,<= 5km,Slight,507361,430769,-0.372869,53.762222,0101000020E6100000AB1365A514DDD7BF22CD8A7190E14A40,16,Slight,1,1,2023-12-11T16:33:00Z,-1,E06000010,U,NA,Single carriageway,20,Other junction,Give way or uncontrolled,C,NA,None,None,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01012793,Slight,E06000010,9,No tow,Waiting to turn left,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Taking pupil to from school,Male,54,46 - 55,1498,Petrol,5,Urban area,E01013108,FALSE,<= 5km,NA,NA,SKODA OCTAVIA
2023131365211,1,1,Pedestrian,Male,70,66 - 75,Slight,On pedestrian crossing facility,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,Yes,0,Urban area,E01011678,<= 5km,Slight,429195,433846,-1.5582260000000001,53.800105,0101000020E6100000AE72870A7EEEF8BF7215D3C669E64A40,13,Slight,1,1,2023-10-20T08:50:00Z,-1,E08000035,U,NA,Dual carriageway,30,Not a junction,NA,NA,-1,None,Pelican,Daylight,Raining high winds,Wet or damp,None,None,Urban,No,E01011678,Slight,E08000035,90,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,NA,No,Not known,Not known,28,26 - 35,NA,NA,NA,NA,-1,FALSE,NA,NA,NA,-1
2023501384089,1,1,Pedestrian,Male,28,26 - 35,Serious,On pedestrian crossing facility,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,NA,0,Urban area,E01015232,<= 5km,Less Serious,289299,60462,-3.560063,50.433542,0101000020E6100000A98B3E81027B0CC06D3CB3407E374940,50,Serious,1,1,2023-12-07T17:10:00Z,-1,E06000027,B,3201,Single carriageway,30,Not a junction,NA,NA,-1,None,Central Refuge,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Rural,Yes,E01015232,Less Serious,E06000027,9,No tow,Slowing or stopping,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Nearside,No,Commuting to from work,Male,60,56 - 65,1199,Petrol,2,Urban area,E01020229,FALSE,>10 and <= 20km,0101000020E61000009BB5BAA5F07A0CC0FBF2A15F78374940,0101000020E6100000360BE6341C7B0CC09F4A6B0285374940,VAUXHALL CORSA
