accident_index,vehicle_reference,casualty_reference,casualty_class,sex_of_casualty,age_of_casualty,age_band_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,lsoa_of_casualty,collision_to_casualty_home_postcode,enhanced_casualty_severity,grid_x,grid_y,longitude,latitude,geom,police_force,accident_severity,number_of_vehicles,number_of_casualties,obs_date,lad_stats19,lah_ons,first_road_class,first_road_number,road_type,speed_limit_mph,junction_detail,junction_control,second_road_class,second_road_number,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,special_conditions_at_site,carriageway_hazards,urban_or_rural_area,did_police_officer_attend_scene_of_accident,lsoa_of_accident_location,enhanced_collision_severity,lad_ons,vehicle_type,towing_and_articulation,vehicle_manoeuvre,vehicle_location_restricted_lane,junction_location,skidding_and_overturning,hit_object_in_carriageway,vehicle_leaving_carriageway,hit_object_off_carriageway,first_point_of_impact,was_vehicle_left_hand_drive,journey_purpose_of_driver,sex_of_driver,age_of_driver,age_band_of_driver,engine_capacity_cc,propulsion_code,age_of_vehicle,driver_home_area_type,lsoa_of_driver,escooter,collision_to_driver_home_postcode,from_pt,to_pt,generic_make_model
2023101296164,1,1,Pedestrian,Male,36,36 - 45,Slight,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01008586,>5 and <= 10km,Slight,431526,581548,-1.507148,55.127313,0101000020E610000036C4F1AF471DF8BFFDCB26BD4B904B40,10,Slight,1,1,2023-04-13T09:00:00Z,-1,E06000057,B,1328,Single carriageway,30,Crossroads,Auto traffic signal,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01027442,Slight,E06000057,9,No tow,Moving off,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Offside,No,Not known,Male,60,56 - 65,999,Petrol,3,Urban area,E01008586,FALSE,>5 and <= 10km,NA,NA,VOLKSWAGEN T-CROSS
2023010437976,1,1,Pedestrian,Male,37,36 - 45,Serious,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,<= 5km,NA,525357,191108,-0.191258,51.604867,0101000020E6100000356F34ED257BC8BFC8A0F3396CCD4940,1,Serious,1,1,2023-04-18T08:43:00Z,-1,E09000003,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01000296,NA,E09000003,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Nearside,No,Not known,Male,68,66 - 75,1368,Petrol,10,Urban area,E01000304,FALSE,<= 5km,NA,NA,ALFA ROMEO GIULIETTA
2023631341120,1,9,Pedestrian,Male,2,0 - 5,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Slight,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,8,Pedestrian,Female,43,36 - 45,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Slight,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,7,Pedestrian,Male,47,46 - 55,Serious,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Rural,W01001250,>100km,Very serious,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023631341120,1,6,Pedestrian,Male,46,46 - 55,Serious,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,W01001045,>100km,Very serious,184904,221932,-5.124761,51.854422,0101000020E6100000B2C87139C17F14C03679ADA05DED4940,63,Serious,1,9,2023-08-12T22:39:00Z,-1,W06000009,A,487,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - no lighting,Fine high winds,Dry,None,None,Rural,Yes,W01000556,Very serious,W06000009,9,No tow,Going ahead right-hand bend,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,Nearside,Other permanent object,Nearside,No,Other,Male,17,16 - 20,1242,Petrol,14,Rural,W01000556,FALSE,<= 5km,NA,NA,FORD FIESTA
2023101363025,1,2,Pedestrian,Female,10,6 - 10,Slight,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01027428,>10 and <= 20km,Slight,419877,586137,-1.689504,55.16915,0101000020E61000002E4905933508FBBF1D05A6A9A6954B40,10,Serious,1,2,2023-09-22T20:18:00Z,-1,E06000057,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,Zebra,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01027453,Less Serious,E06000057,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,49,46 - 55,1498,Petrol,4,Small town,E01027474,FALSE,>5 and <= 10km,NA,NA,SEAT LEON
2023101363025,1,1,Pedestrian,Female,49,46 - 55,Serious,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01027428,>10 and <= 20km,Less Serious,419877,586137,-1.689504,55.16915,0101000020E61000002E4905933508FBBF1D05A6A9A6954B40,10,Serious,1,2,2023-09-22T20:18:00Z,-1,E06000057,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,Zebra,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01027453,Less Serious,E06000057,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,49,46 - 55,1498,Petrol,4,Small town,E01027474,FALSE,>5 and <= 10km,NA,NA,SEAT LEON
2023451284841,1,1,Pedestrian,Male,70,66 - 75,Slight,Centre of carriageway without refuge,Walking back to traffic,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01030680,<= 5km,Slight,502425,163794,-0.530176,51.363988,0101000020E610000019E34B4934F7E0BF2A940F1D97AE4940,45,Slight,1,1,2023-03-09T09:15:00Z,-1,E10000030,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Wet or damp,None,None,Urban,No - accident was reported on self completed form,E01030680,Slight,E07000212,9,No tow,Turning right,On main cway not in restricted lane,Leaving main road,None,None,NA,None,Front,No,Commuting to from work,Male,60,56 - 65,1997,Hybrid electric,3,Urban area,E01030680,FALSE,<= 5km,NA,NA,LAND ROVER RANGE ROVER SPORT
2023371273190,1,1,Pedestrian,Male,42,36 - 45,Serious,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Small town,E01029927,>20 and <=100km,Less Serious,652253,286685,1.708384,52.419929,0101000020E6100000A387818B8A55FB3F21BEDC2CC0354A40,37,Serious,1,1,2023-02-04T19:00:00Z,-1,E10000029,B,1437,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Darkness - lights lit,Fine no high winds,Dry,None,None,Rural,Yes,E01030252,Less Serious,E07000244,19,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Offside,No,Other,Male,39,36 - 45,1995,Heavy oil,7,Small town,E01030252,FALSE,<= 5km,NA,NA,FORD TRANSIT CUSTOM
2023131284639,1,2,Pedestrian,Male,15,11 - 15,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01011667,<= 5km,Slight,435323,435028,-1.465056,53.810349,0101000020E61000008DE2DA41DE70F7BF4873BB79B9E74A40,13,Slight,1,3,2023-03-07T08:05:00Z,-1,E08000035,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,No,E01011667,Slight,E08000035,9,No tow,NA,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Not known,Male,74,66 - 75,1229,Petrol,15,Urban area,E01011667,FALSE,<= 5km,NA,NA,VAUXHALL CORSA
2023131284639,1,1,Pedestrian,Male,15,11 - 15,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01011667,<= 5km,Slight,435323,435028,-1.465056,53.810349,0101000020E61000008DE2DA41DE70F7BF4873BB79B9E74A40,13,Slight,1,3,2023-03-07T08:05:00Z,-1,E08000035,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,No,E01011667,Slight,E08000035,9,No tow,NA,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Not known,Male,74,66 - 75,1229,Petrol,15,Urban area,E01011667,FALSE,<= 5km,NA,NA,VAUXHALL CORSA
2023131284639,1,3,Pedestrian,Male,15,11 - 15,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01011665,<= 5km,Slight,435323,435028,-1.465056,53.810349,0101000020E61000008DE2DA41DE70F7BF4873BB79B9E74A40,13,Slight,1,3,2023-03-07T08:05:00Z,-1,E08000035,U,NA,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,No,E01011667,Slight,E08000035,9,No tow,NA,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Not known,Male,74,66 - 75,1229,Petrol,15,Urban area,E01011667,FALSE,<= 5km,NA,NA,VAUXHALL CORSA
2023221392666,1,1,Pedestrian,Female,16,16 - 20,Slight,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Rural,W01000443,>20 and <=100km,Slight,351515,240490,-2.708611,52.060656,0101000020E6100000824C0BFF3BAB05C02DD7F987C3074A40,22,Slight,1,1,2023-12-20T16:34:00Z,-1,E06000019,U,NA,Single carriageway,30,T or staggered junction,Auto traffic signal,A(M),465,None,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01014010,Slight,E06000019,9,No tow,U-turn,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Not known,Male,18,16 - 20,1598,Heavy oil,10,Rural,E01014020,FALSE,>20 and <=100km,NA,NA,SKODA FABIA
2023991356891,1,1,Pedestrian,Female,66,66 - 75,Fatal,Within 50m. of crossing,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,NA,Fatal,326785,673886,-3.174055,55.952403,0101000020E6100000639DBABD766409C093EF474AE8F94B40,99,Fatal,1,1,2023-09-26T10:35:00Z,-1,S12000036,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,Pelican,Daylight,Fine no high winds,Dry,None,Other object on road,Urban,Yes,-1,Fatal,S12000036,1,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,Skidded and overturned,Any animal except ridden horse,NA,None,Front,No,Other,Male,20,16 - 20,NA,NA,NA,Urban area,-1,FALSE,<= 5km,0101000020E6100000339C82F5AA6409C0D90C3316ECF94B40,0101000020E61000005E5804CF426409C09EB91115E5F94B40,-1
2023430031799,3,5,Pedestrian,Male,20,16 - 20,Serious,On footway or verge,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01031179,>20 and <=100km,NA,482557,232779,-0.799195,51.987343,0101000020E6100000728638680093E9BF79521A3061FE4940,43,Serious,3,5,2023-01-21T22:06:00Z,-1,E06000042,A,421,Dual carriageway,70,Not a junction,NA,NA,-1,None,None,Darkness - lighting unknown,Fine no high winds,Wet or damp,None,None,Rural,Yes,E01033519,NA,E06000042,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,Did not leave carriageway,None,Back,No,Not known,Female,61,56 - 65,1499,Hybrid electric,5,Rural,E01031214,FALSE,>20 and <=100km,NA,NA,MINI COUNTRYMAN
2023141395255,1,1,Pedestrian,Male,38,36 - 45,Fatal,"In carriageway, crossing elsewhere",Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01007457,<= 5km,Fatal,436981,401764,-1.443826,53.511266,0101000020E6100000B1B40A62E919F7BFBAC35B2071C14A40,14,Fatal,1,1,2023-11-09T19:53:00Z,-1,E08000016,A,6195,Dual carriageway,70,Not a junction,NA,NA,-1,None,None,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01007395,Fatal,E08000016,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Other,Male,40,36 - 45,1968,Heavy oil,8,Urban area,E01028009,FALSE,>20 and <=100km,NA,NA,VOLKSWAGEN PASSAT
2023332300221,1,1,Pedestrian,Female,14,11 - 15,Serious,Within 50m. of crossing,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Small town,E01025774,<= 5km,NA,453038,292525,-1.219636,52.528025,0101000020E6100000D769F600A183F3BF373FD64096434A40,33,Serious,1,1,2023-03-29T15:00:00Z,-1,E10000018,B,581,Single carriageway,30,T or staggered junction,Auto traffic signal,B,NA,None,Pedestrian phase at traffic signal junction,Daylight,Raining no high winds,Wet or damp,None,None,Rural,Yes,E01025774,NA,E07000131,9,No tow,NA,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Front,No,Not known,Female,91,Over 75,1398,Petrol,6,Urban area,E01025841,FALSE,>5 and <= 10km,NA,NA,VAUXHALL CORSA
2023221383785,1,1,Pedestrian,Female,55,46 - 55,Slight,"In carriageway, not crossing",Walking back to traffic,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Rural,E01032179,<= 5km,Slight,374935,251426,-2.367828,52.160534,0101000020E610000017E5E10550F102C0F93FFF538C144A40,22,Slight,1,1,2023-12-05T14:40:00Z,-1,E10000034,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Wet or damp,None,None,Rural,No - accident was reported on self completed form,E01032179,Slight,E07000235,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Nearside,No,Not known,Male,72,66 - 75,1968,Heavy oil,9,Rural,E01032179,FALSE,<= 5km,NA,NA,AUDI Q3
2023010484820,1,1,Pedestrian,Female,55,46 - 55,Slight,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01003589,<= 5km,NA,542203,184914,0.049333,51.545212,0101000020E61000003B55D2C72542A93FFF551176C9C54940,1,Slight,1,1,2023-12-18T15:10:00Z,-1,E09000025,A,117,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01003589,NA,E09000025,9,No tow,Reversing,On main cway not in restricted lane,Cleared junction or held at junction exit,None,None,NA,None,Back,No,Not known,Male,38,36 - 45,1968,Heavy oil,9,NA,-1,FALSE,NA,NA,NA,AUDI A3
2023101374651,1,1,Pedestrian,Female,59,56 - 65,Serious,On pedestrian crossing facility,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01008792,<= 5km,Less Serious,440634,559630,-1.367434,54.929706,0101000020E6100000DDB1134302E1F5BF3C739D9100774B40,10,Serious,1,1,2023-11-12T16:15:00Z,-1,E08000024,A,183,Single carriageway,30,T or staggered junction,Give way or uncontrolled,C,NA,NA,NA,Daylight,Fine no high winds,Wet or damp,NA,NA,Urban,Yes,E01008792,Less Serious,E08000024,9,No tow,NA,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Not known,Male,63,56 - 65,1200,Petrol,4,Urban area,E01008723,FALSE,<= 5km,NA,NA,CITROEN C3
2023451309649,1,1,Pedestrian,Male,44,36 - 45,Fatal,Unknown or other,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01030607,<= 5km,Fatal,520604,160493,-0.270293,51.330755,0101000020E6100000206709A3794CD1BF87E1BA2056AA4940,45,Fatal,1,1,2023-05-21T00:05:00Z,-1,E10000030,A,24,Single carriageway,30,Not a junction,NA,NA,-1,None,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01030411,Fatal,E07000208,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Male,59,56 - 65,NA,NA,NA,Urban area,E01030403,FALSE,<= 5km,NA,NA,LONDON TAXIS INT. TX4
202354D360923,1,1,Pedestrian,Male,49,46 - 55,Fatal,On pedestrian crossing facility,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01031912,<= 5km,NA,391862,173157,-2.118518,51.457333,0101000020E6100000EF9340CBB9F200C0AB526FD289BA4940,54,Fatal,1,1,2023-12-17T17:17:00Z,-1,E06000054,A,4,Dual carriageway,30,T or staggered junction,Auto traffic signal,C,NA,None,Pelican,Darkness - lights lit,Fine no high winds,Dry,None,None,Rural,Yes,E01031912,NA,E06000054,9,No tow,Moving off,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Not known,Male,35,26 - 35,1998,Hybrid electric,7,Urban area,E01031852,FALSE,>10 and <= 20km,NA,NA,BMW 3 SERIES
2023010432292,1,1,Pedestrian,Male,60,56 - 65,Serious,Centre of carriageway without refuge,From offside masked by vehicle,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01001844,<= 5km,NA,535597,184481,-0.046039,51.542946,0101000020E610000020F252BF6492A7BF727845317FC54940,1,Serious,1,1,2023-03-15T11:35:00Z,-1,E09000012,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01001844,NA,E09000012,19,No tow,Reversing,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Back,No,Journey as part of work,Male,23,21 - 25,2298,Heavy oil,2,Urban area,E01003656,FALSE,>10 and <= 20km,NA,NA,NISSAN NV400
2023522399999,1,1,Pedestrian,Male,67,66 - 75,Slight,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01014519,<= 5km,NA,357394,169789,-2.614182,51.425499,0101000020E61000003D54D538D8E904C0E02C13B276B64940,52,Slight,1,1,2023-06-07T20:30:00Z,-1,E06000023,U,NA,Single carriageway,20,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01014519,NA,E06000023,3,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Front,No,Not known,Female,34,26 - 35,125,Petrol,6,Urban area,E01014520,FALSE,<= 5km,NA,NA,HONDA WW125
2023131359475,1,1,Pedestrian,Female,52,46 - 55,Serious,Unknown or other,Walking facing traffic,Not a Car Passenger,Not a bus or coach passenger,Yes,0,Urban area,E01032923,<= 5km,Moderately serious,409195,425113,-1.862132,53.722346,0101000020E610000030EE63204BCBFDBF0BCDFEC775DC4A40,13,Serious,1,1,2023-09-30T00:45:00Z,-1,E08000033,U,NA,One way street,30,T or staggered junction,Give way or uncontrolled,C,NA,None,None,Darkness - lights lit,Unknown,Dry,None,None,Urban,No,E01010994,Moderately serious,E08000033,8,No tow,NA,NA,NA,NA,NA,NA,NA,NA,No,Not known,Not known,100,Over 75,NA,NA,NA,NA,-1,FALSE,NA,NA,NA,-1
2023010444066,1,1,Pedestrian,Male,59,56 - 65,Serious,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01004040,>5 and <= 10km,NA,528471,180093,-0.150337,51.505178,0101000020E61000009E7C4E48423EC3BFC61C9D9AA9C04940,1,Serious,1,1,2023-05-19T20:20:00Z,-1,E09000033,A,4202,Roundabout,20,Roundabout,Give way or uncontrolled,A(M),4202,NA,NA,Darkness - lights lit,Fine no high winds,Dry,NA,NA,Urban,No - accident was reported on self completed form,E01004761,NA,E09000033,8,No tow,Waiting to go - held up,NA,Entering roundabout,None,NA,Offside and rebounded,NA,Front,Yes,Not known,Male,23,21 - 25,1950,Heavy oil,4,Urban area,E01003784,FALSE,>10 and <= 20km,NA,NA,MERCEDES E CLASS
2023201384226,1,1,Pedestrian,Female,39,36 - 45,Slight,On footway or verge,Unknown or other,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01031163,>20 and <=100km,Slight,433483,278847,-1.509236,52.406613,0101000020E61000002FB0436ED425F8BFBF52B4D50B344A40,20,Slight,1,1,2023-11-01T14:51:00Z,-1,E08000026,U,NA,Single carriageway,30,Private drive or entrance,Give way or uncontrolled,C,NA,None,None,Daylight,Unknown,Dry,None,None,Urban,No - accident was reported on self completed form,E01009642,Slight,E08000026,9,No tow,Turning left,On main cway not in restricted lane,Leaving main road,None,None,NA,None,Front,No,Not known,Male,-1,NA,1796,Petrol,13,Urban area,E01032535,FALSE,<= 5km,NA,NA,MERCEDES SLK CLASS
2023332300055,2,1,Pedestrian,Male,38,36 - 45,Fatal,"In carriageway, not crossing",Unknown or other,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,NA,-1,NA,NA,477940,300415,-0.850789,52.595952,0101000020E610000032B5ABDBAA39EBBF27DB7F1B484C4A40,33,Fatal,3,1,2023-01-20T10:00:00Z,-1,E10000018,A,47,Single carriageway,60,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Wet or damp,None,None,Rural,Yes,E01025815,NA,E07000131,9,No tow,Parked,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Back,No,Not known,Male,-1,NA,1991,Heavy oil,19,NA,-1,FALSE,NA,NA,NA,HYUNDAI SANTA FE
2023131373174,1,1,Pedestrian,Male,10,6 - 10,Serious,Within 50m. of crossing,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,Unknown,0,Urban area,E01011029,<= 5km,Less Serious,424164,424550,-1.635331,53.716811,0101000020E61000000DBE3034512AFABF2A16DA65C0DB4A40,13,Serious,1,1,2023-11-10T16:45:00Z,-1,E08000034,B,6123,Single carriageway,30,Not a junction,NA,NA,-1,Control by other authorised person,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Dry,None,None,Urban,Yes,E01011029,Less Serious,E08000034,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Offside,No,Other,Male,46,46 - 55,1248,Heavy oil,15,Urban area,E01011695,FALSE,>10 and <= 20km,NA,NA,VAUXHALL CORSA
2023052302007,1,1,Pedestrian,Male,15,11 - 15,Serious,On refuge or similar,From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01006705,<= 5km,NA,335704,393371,-2.969229,53.433185,0101000020E6100000774A2BDCFAC007C01861E28A72B74A40,5,Serious,1,1,2023-08-26T23:00:00Z,-1,E08000012,A,580,Dual carriageway,30,Crossroads,Auto traffic signal,A(M),5089,None,Pelican,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,E01006703,NA,E08000012,8,No tow,NA,On main cway not in restricted lane,Mid Junction - on roundabout or on main road,None,None,NA,None,Offside,No,Commuting to from work,Male,53,46 - 55,1997,Heavy oil,8,Urban area,E01006942,FALSE,>5 and <= 10km,NA,NA,FORD MONDEO
2023430135038,1,1,Pedestrian,Male,54,46 - 55,Fatal,Within 50m. of crossing,From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Small town,E01028599,<= 5km,NA,462010,190567,-1.105894,51.610531,0101000020E6100000FF556152BEB1F1BF122C97D025CE4940,43,Fatal,1,1,2023-03-27T12:10:00Z,-1,E10000025,A,4074,Single carriageway,50,T or staggered junction,Give way or uncontrolled,C,NA,None,Central Refuge,Daylight,Fine no high winds,Dry,None,None,Rural,Yes,E01028599,NA,E07000179,90,No tow,NA,On main cway not in restricted lane,Approaching junction or held at junction approach,None,None,NA,None,Front,No,Journey as part of work,Male,20,16 - 20,7698,Heavy oil,6,Small town,E01028616,FALSE,>10 and <= 20km,NA,NA,MERCEDES MODEL MISSING
2023471267067,1,1,Pedestrian,Male,58,56 - 65,Slight,"In carriageway, crossing elsewhere",From drivers nearside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01021151,<= 5km,Slight,552752,129183,0.177521,51.041703,0101000020E6100000032A2767FFB8C63FC3815B7856854940,47,Slight,1,1,2023-01-23T15:09:00Z,-1,E10000011,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Raining no high winds,Wet or damp,None,None,Urban,Yes,E01021151,Slight,E07000065,9,No tow,NA,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Nearside,No,Taking pupil to from school,Female,50,46 - 55,1591,Petrol,3,Urban area,E01021146,FALSE,>5 and <= 10km,NA,NA,HYUNDAI KONA
2023211297013,1,2,Pedestrian,Male,88,Over 75,Slight,"In carriageway, crossing elsewhere",From drivers offside,Not a Car Passenger,Not a bus or coach passenger,No or not applicable,0,Urban area,E01014363,<= 5km,Slight,390941,343486,-2.136396,52.988632,0101000020E61000004FF37290561701C0534501718B7E4A40,21,Serious,1,2,2023-04-15T12:06:00Z,-1,E06000021,U,NA,Single carriageway,30,Not a junction,NA,NA,-1,None,None,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,E01014302,Very serious,E06000021,9,No tow,Reversing,On main cway not in restricted lane,Not at or within 20 metres of junction,None,None,NA,None,Back,No,Other,Male,35,26 - 35,1461,Heavy oil,6,Urban area,E01014223,FALSE,<= 5km,NA,NA,MERCEDES A CLASS
